method,time,memory,ram
load_dataset,7.359544992446899,1150279680,0
get_columns,0.7284109592437744,204357632,0
get_columns,0.8199877738952637,745000960,0
locate_null_values,1.7617673873901367,881352704,0
sort,0.3431053161621094,72044544,0
query,0.31391263008117676,52301824,0
join,5.337665796279907,3735633920,0
delete_columns,1.2376506328582764,762470400,0
rename_columns,1.4052355289459229,1549799424,0
delete_columns,0.6804172992706299,2435080192,0
calc_column,0.6463406085968018,791805952,0
calc_column,0.6390600204467773,586432512,0
calc_column,0.6394400596618652,565788672,0
calc_column,0.6953938007354736,169783296,0
rename_columns,0.534888744354248,91611136,0
cast_columns_types,0.50467848777771,72531968,0
delete_columns,0.5136783123016357,128503808,0
calc_column,0.5055351257324219,14757888,0
groupby,0.5725605487823486,185135104,0
groupby,0.5408048629760742,0,0
drop_duplicates,24.39160919189453,16932904960,0
fill_nan,13.65149188041687,51073024,0
replace,11.463890552520752,668049408,0
replace,12.253283262252808,0,0
