method,time,memory,ram
load_dataset,0.5260088443756104,99651584,0
get_columns,0.0005254745483398438,0,0
locate_null_values,0.12808752059936523,19521536,0
sort,0.05205678939819336,0,0
query,0.05977368354797363,78905344,0
join,0.05652785301208496,0,0
delete_columns,0.027641773223876953,0,0
rename_columns,0.06899118423461914,25231360,0
delete_columns,0.026267290115356445,0,0
calc_column,9.064198970794678,134238208,0
calc_column,9.991215467453003,0,0
calc_column,9.925706624984741,0,0
calc_column,9.983098983764648,20021248,0
rename_columns,0.06730127334594727,144777216,0
cast_columns_types,0.5014183521270752,0,0
join,0.08439373970031738,299008,0
delete_columns,0.029663562774658203,0,0
join,0.09380507469177246,52174848,0
join,0.08905577659606934,0,0
calc_column,5.388691425323486,26234880,0
groupby,0.19005846977233887,0,0
groupby,0.193572998046875,0,0
drop_duplicates,0.22787094116210938,27410432,0
fill_nan,0.01358175277709961,0,0
replace,0.019178390502929688,1081344,0
replace,0.02113795280456543,48070656,0
to_csv,13.720032691955566,454852608,0
