method,time,memory,ram
load_dataset,109.91542744636536,31736238080,0
get_columns,0.0019190311431884766,0,0
get_columns,0.002239227294921875,0,0
locate_null_values,9.668999910354614,1295241216,0
sort,6.495609998703003,0,0
query,0.4241640567779541,127410176,0
join,0.4907982349395752,648355840,0
delete_columns,0.011698484420776367,204800,0
rename_columns,0.014440059661865234,0,0
delete_columns,0.015241146087646484,0,0
calc_column,49.65692496299744,838660096,0
calc_column,10.431044340133667,47685632,0
calc_column,10.281615972518921,44589056,0
calc_column,10.790640354156494,0,0
rename_columns,0.017332792282104492,2310144,0
cast_columns_types,0.8957593441009521,0,0
delete_columns,0.01562809944152832,9732096,0
calc_column,7.667471170425415,19644416,0
groupby,1.0646164417266846,153972736,0
groupby,1.892482042312622,27115520,0
drop_duplicates,2.919126272201538,0,0
fill_nan,21.139374494552612,5455151104,0
replace,1.0021822452545166,0,0
replace,0.544734001159668,73371648,0
