method,time,memory,ram
load_dataset,6.561638355255127,714473472,0
get_columns,0.728917121887207,96460800,0
get_columns,0.6265273094177246,82071552,0
locate_null_values,1.3842768669128418,81735680,0
sort,0.6196563243865967,37822464,0
query,0.6071436405181885,0,0
join,1.432572603225708,84504576,0
delete_columns,1.2353558540344238,29204480,0
rename_columns,0.8213117122650146,33685504,0
delete_columns,1.2428343296051025,88088576,0
calc_column,4.69602370262146,1296801792,0
calc_column,6.925378084182739,1114566656,0
calc_column,8.259378433227539,175763456,0
calc_column,11.304304361343384,205369344,0
rename_columns,6.137763500213623,0,0
cast_columns_types,6.676202297210693,52977664,0
join,8.985800504684448,0,0
delete_columns,7.245474100112915,553316352,0
