method,time,memory,ram
load_dataset,6.3417863845825195,733401088,0
get_columns,0.7174587249755859,40857600,0
get_columns,0.6490585803985596,26468352,0
locate_null_values,1.4203760623931885,64000000,0
sort,0.6383578777313232,122212352,0
query,0.6022078990936279,0,0
join,1.3707606792449951,35045376,0
delete_columns,1.1863865852355957,32870400,0
rename_columns,0.8668789863586426,7020544,0
delete_columns,1.2912065982818604,32497664,0
calc_column,4.960285902023315,1321758720,0
calc_column,6.314800500869751,1148665856,0
calc_column,8.05257248878479,152739840,0
calc_column,12.305970430374146,66813952,0
rename_columns,6.589470863342285,46878720,0
