method,time,memory,ram
load_dataset,6.8183252811431885,1356759040,0
get_columns,0.7798953056335449,30777344,0
get_columns,0.589564323425293,129146880,0
locate_null_values,1.5718562602996826,48861184,0
sort,0.6638941764831543,384671744,0
query,0.6317117214202881,152219648,0
join,1.544863224029541,91287552,0
delete_columns,1.324430227279663,55648256,0
rename_columns,0.7591273784637451,10321920,0
delete_columns,1.1698551177978516,72351744,0
calc_column,5.336360216140747,1457184768,0
calc_column,6.513339281082153,1530535936,0
calc_column,8.00672960281372,585625600,0
calc_column,11.444684267044067,3056295936,0
rename_columns,5.807164192199707,646647808,0
cast_columns_types,6.372842073440552,161280000,0
join,7.3644633293151855,0,0
delete_columns,6.059152603149414,0,0
join,6.873080492019653,115437568,0
join,6.946696758270264,0,0
calc_column,14.965664863586426,37675008,0
groupby,8.450764656066895,45985792,0
groupby,7.951353549957275,142807040,0
drop_duplicates,9.817855834960938,0,0
fill_nan,9.294960737228394,484909056,0
replace,9.016279935836792,2028924928,0
replace,8.753501653671265,166449152,0
to_csv,20.31363797187805,76591104,0
