method,time,memory,ram
load_dataset,6.729288578033447,1478299648,0
get_columns,0.729325532913208,178614272,0
get_columns,0.5943858623504639,283820032,0
locate_null_values,1.5677995681762695,364376064,0
sort,0.6074934005737305,0,0
query,0.6032593250274658,69591040,0
join,1.3158681392669678,31813632,0
delete_columns,1.0157434940338135,51249152,0
rename_columns,0.8036298751831055,39821312,0
delete_columns,1.3437778949737549,57991168,0
calc_column,5.288482189178467,1336631296,0
calc_column,6.463676929473877,2169856000,0
calc_column,8.757100820541382,1318281216,0
calc_column,11.126677989959717,1633288192,0
rename_columns,6.610774755477905,541229056,0
cast_columns_types,5.78923225402832,203706368,0
join,6.893717288970947,463618048,0
delete_columns,6.603094100952148,38993920,0
join,6.983901739120483,29880320,0
join,7.035851240158081,52043776,0
calc_column,14.601790428161621,125472768,0
groupby,7.8951520919799805,28987392,0
groupby,8.137593984603882,11878400,0
drop_duplicates,10.1385817527771,111374336,0
fill_nan,9.459908246994019,56156160,0
replace,8.707244396209717,50192384,0
replace,8.84801959991455,93786112,0
to_csv,20.84315323829651,182743040,0
