method,time,memory,ram
load_dataset,3.831834554672241,3926421504,0
get_columns,0.00035500526428222656,0,0
get_columns,0.0004181861877441406,0,0
locate_null_values,0.0036840438842773438,1548288,0
sort,8.803369283676147,6393614336,0
query,0.0523526668548584,13160448,0
join,0.45685458183288574,51679232,0
delete_columns,0.011519193649291992,0,0
rename_columns,0.0007624626159667969,0,0
delete_columns,0.0005283355712890625,0,0
calc_column,28.30444073677063,7202430976,0
calc_column,26.276541709899902,2792931328,0
calc_column,26.306147813796997,0,0
calc_column,26.31177806854248,2864443392,0
rename_columns,0.0009889602661132812,0,0
cast_columns_types,0.0004124641418457031,0,0
delete_columns,0.003840923309326172,0,0
calc_column,20.216461420059204,459792384,0
groupby,1.1777310371398926,13578240,0
groupby,1.2101070880889893,32882688,0
drop_duplicates,472.003977060318,17378861056,0
fill_nan,0.0043659210205078125,860160,0
replace,0.11484408378601074,32571392,0
replace,0.10425233840942383,40370176,0
