method,time,memory,ram
load_dataset,112.74872756004333,4819890176,0
get_columns,0.0006015300750732422,0,0
get_columns,0.0007638931274414062,520192,0
locate_null_values,0.004969596862792969,2596864,0
sort,9.718952655792236,0,0
query,0.04294157028198242,21487616,0
join,0.5671043395996094,274268160,0
delete_columns,0.011486291885375977,0,0
rename_columns,0.0008633136749267578,0,0
delete_columns,0.000652313232421875,0,0
calc_column,30.046655654907227,781361152,0
calc_column,26.5745747089386,0,0
calc_column,26.988677978515625,19808256,0
calc_column,26.539128303527832,28151808,0
rename_columns,0.0014269351959228516,0,0
cast_columns_types,0.0004992485046386719,0,0
delete_columns,0.004683256149291992,0,0
calc_column,20.395578384399414,0,0
groupby,1.2024741172790527,0,0
groupby,1.1983680725097656,66469888,0
drop_duplicates,607.1399235725403,49096413184,0
fill_nan,0.003942728042602539,0,0
replace,0.026659727096557617,0,0
replace,0.08342909812927246,0,0
