method,time,memory,ram
load_dataset,3.7706494331359863,2975092736,0
get_columns,0.0007195472717285156,0,0
get_columns,0.0010025501251220703,0,0
locate_null_values,0.004759073257446289,774144,0
sort,8.776236534118652,1194283008,0
query,0.047907114028930664,0,0
join,0.23574161529541016,80818176,0
delete_columns,0.012933731079101562,0,0
rename_columns,0.0017521381378173828,0,0
delete_columns,0.0008490085601806641,98304,0
calc_column,39.24470138549805,0,0
calc_column,30.711938619613647,466505728,0
calc_column,33.26393795013428,0,0
calc_column,26.519999265670776,3944624128,0
rename_columns,0.0010118484497070312,2097152,0
cast_columns_types,0.0003008842468261719,0,0
delete_columns,0.004204511642456055,0,0
calc_column,20.77992820739746,797970432,0
groupby,1.342794418334961,134656000,0
groupby,1.262253999710083,251297792,0
drop_duplicates,618.7629079818726,14204309504,0
fill_nan,0.005870819091796875,1032192,0
replace,0.02866363525390625,2031616,0
replace,0.031213998794555664,1024000,0
