method,time,memory,ram
load_dataset,5.94378137588501,439144448,0
get_columns,0.32680344581604004,136826880,0
get_columns,0.18933558464050293,42307584,0
locate_null_values,0.4386172294616699,62083072,0
sort,0.21976733207702637,26017792,0
query,0.17087340354919434,91734016,0
join,3.1323964595794678,4715606016,0
delete_columns,0.7266631126403809,0,0
rename_columns,0.401824951171875,139821056,0
delete_columns,0.44721341133117676,0,0
calc_column,0.4142789840698242,6729728,0
calc_column,0.42009782791137695,13361152,0
calc_column,0.3623063564300537,0,0
calc_column,0.4183311462402344,25591808,0
rename_columns,0.5156924724578857,54177792,0
cast_columns_types,0.4069502353668213,11169792,0
join,2.818845510482788,1851920384,0
delete_columns,1.4449608325958252,176631808,0
join,2.1624104976654053,61358080,0
join,1.9033973217010498,25219072,0
calc_column,1.5123791694641113,21409792,0
groupby,1.2634384632110596,8192000,0
groupby,1.208249568939209,17223680,0
drop_duplicates,4.7583184242248535,47882240,0
fill_nan,2.273371458053589,40697856,0
replace,2.219557285308838,22716416,0
replace,2.183718204498291,57184256,0
to_csv,6.78835129737854,178745344,0
