method,time,memory,ram
load_dataset,0.6704599857330322,176566272,0
get_columns,0.0005345344543457031,0,0
locate_null_values,0.0010809898376464844,0,0
sort,0.03394770622253418,55848960,0
query,0.019922494888305664,17289216,0
join,0.06601095199584961,84332544,0
delete_columns,0.029076099395751953,44769280,0
rename_columns,0.029993295669555664,24039424,0
delete_columns,0.032007455825805664,23273472,0
calc_column,1.972212553024292,120811520,0
calc_column,3.9448976516723633,50925568,0
calc_column,5.140372276306152,20094976,0
calc_column,6.510434150695801,3702784,0
rename_columns,6.502034664154053,10547200,0
cast_columns_types,6.565935373306274,1728512,0
join,13.838752269744873,227344384,0
join,13.853989362716675,40407040,0
join,13.825225353240967,54607872,0
calc_column,7.456583261489868,22085632,0
groupby,7.503634214401245,18481152,0
groupby,7.525026082992554,0,0
drop_duplicates,7.4772374629974365,82038784,0
fill_nan,7.552882432937622,59256832,0
replace,7.99431586265564,24625152,0
replace,8.79826831817627,110182400,0
to_csv,17.914154291152954,1536651264,0
