method,time,memory,ram
load_dataset,0.644939661026001,247996416,0
get_columns,0.0003485679626464844,516096,0
locate_null_values,0.0007476806640625,1032192,0
sort,0.033159732818603516,0,0
query,0.01899123191833496,8884224,0
join,0.07077670097351074,95596544,0
delete_columns,0.032158851623535156,26046464,0
rename_columns,0.03347659111022949,20385792,0
delete_columns,0.03271675109863281,20459520,0
calc_column,1.9413583278656006,119488512,0
calc_column,3.6268489360809326,41934848,0
calc_column,5.052743434906006,28839936,0
calc_column,6.412663459777832,146432000,0
rename_columns,6.472906589508057,0,0
cast_columns_types,6.43737006187439,49152,0
join,14.12888789176941,232599552,0
join,12.95255184173584,55635968,0
join,12.69059419631958,37466112,0
calc_column,7.444738149642944,66887680,0
groupby,7.406322240829468,0,0
groupby,7.350478410720825,0,0
drop_duplicates,7.557221174240112,53252096,0
fill_nan,7.4172022342681885,87769088,0
replace,7.942082166671753,53743616,0
replace,8.534842252731323,0,0
to_csv,17.529744625091553,31899648,0
