method,time,memory,ram
load_dataset,43.55082631111145,20947324928,0
get_columns,0.0004875659942626953,0,0
locate_null_values,14.479947805404663,0,0
sort,6.298065900802612,1118715904,0
query,0.2874765396118164,353284096,0
join,6.495684385299683,1451266048,0
delete_columns,1.732086181640625,0,0
rename_columns,5.2675089836120605,68235264,0
delete_columns,1.4210798740386963,0,0
calc_column,73.9326388835907,6377467904,0
calc_column,77.5343713760376,0,0
calc_column,78.10565686225891,0,0
calc_column,78.44344186782837,58703872,0
rename_columns,13.387823581695557,0,0
cast_columns_types,2.153846025466919,6529024,0
delete_columns,1.6031057834625244,0,0
calc_column,43.92287993431091,0,0
groupby,0.2765822410583496,159744,0
groupby,0.2705528736114502,0,0
drop_duplicates,29.120367527008057,0,0
fill_nan,0.015390157699584961,0,0
replace,0.15857720375061035,3108864,0
replace,0.15896892547607422,14327808,0
