method,time,memory,ram
load_dataset,8.765467643737793,180248576,0
get_columns,0.001001119613647461,516096,0
get_columns,0.0013952255249023438,0,0
locate_null_values,0.09375286102294922,32542720,0
sort,0.07272148132324219,37584896,0
query,0.5016751289367676,122109952,0
join,0.048497676849365234,0,0
delete_columns,0.014760732650756836,28979200,0
rename_columns,0.006440639495849609,0,0
delete_columns,0.005758762359619141,516096,0
calc_column,1.1514852046966553,14036992,0
calc_column,0.3507649898529053,0,0
calc_column,0.7424561977386475,7741440,0
calc_column,0.3586235046386719,14131200,0
rename_columns,0.0054662227630615234,0,0
cast_columns_types,0.004951000213623047,0,0
join,0.019554615020751953,0,0
delete_columns,0.006043910980224609,0,0
join,0.021872758865356445,1835008,0
join,0.019660472869873047,0,0
calc_column,0.34409022331237793,63410176,0
groupby,0.14300036430358887,69939200,0
groupby,0.0914766788482666,0,0
drop_duplicates,0.021155357360839844,1495040,0
fill_nan,0.0038728713989257812,552960,0
replace,0.011657476425170898,516096,0
replace,0.009502410888671875,0,0
to_csv,0.3801124095916748,0,0
