method,time,memory,ram
load_dataset,11.487809419631958,0,0
get_columns,0.0011525154113769531,0,0
get_columns,0.0006318092346191406,0,0
locate_null_values,0.3735008239746094,59473920,0
sort,0.2225184440612793,110510080,0
query,1.0003554821014404,269758464,0
join,0.3207130432128906,175460352,0
delete_columns,0.12900543212890625,42995712,0
rename_columns,0.1437540054321289,33050624,0
delete_columns,0.1433711051940918,0,0
calc_column,0.5841047763824463,0,0
calc_column,0.5207171440124512,0,0
calc_column,0.5397696495056152,73076736,0
calc_column,0.5135993957519531,237015040,0
rename_columns,0.14920806884765625,0,0
cast_columns_types,0.007657051086425781,0,0
delete_columns,0.15271902084350586,9834496,0
calc_column,0.35108017921447754,88809472,0
groupby,0.22184276580810547,117424128,0
groupby,0.09443473815917969,9936896,0
drop_duplicates,0.25288820266723633,0,0
fill_nan,0.02138066291809082,2392064,0
replace,0.01109170913696289,0,0
replace,0.011657953262329102,0,0
