method,time,memory,ram
load_dataset,13.268179416656494,0,0
get_columns,0.000942230224609375,0,0
get_columns,0.001417398452758789,0,0
locate_null_values,0.41431140899658203,117927936,0
sort,0.2626838684082031,25243648,0
query,0.8289101123809814,49205248,0
join,0.20960664749145508,11374592,0
delete_columns,0.1274406909942627,5287936,0
rename_columns,0.12019562721252441,5165056,0
delete_columns,0.12010455131530762,0,0
calc_column,0.5350074768066406,42000384,0
calc_column,0.49483823776245117,0,0
calc_column,0.7330670356750488,134311936,0
calc_column,0.46811723709106445,318730240,0
rename_columns,0.14217925071716309,48619520,0
cast_columns_types,0.007564544677734375,1044480,0
delete_columns,0.15621042251586914,3194880,0
calc_column,0.35194945335388184,32215040,0
groupby,0.18746185302734375,116600832,0
groupby,0.08239412307739258,24952832,0
drop_duplicates,0.20133376121520996,64794624,0
fill_nan,0.022141456604003906,23818240,0
replace,0.013813495635986328,10432512,0
replace,0.00984501838684082,3796992,0
