method,time,memory,ram
load_dataset,19.913732051849365,6968922112,0
get_columns,4.33607292175293,0,0
get_columns,3.85800838470459,0,0
locate_null_values,8.388956785202026,0,0
sort,4.106352806091309,1283821568,0
query,3.9305293560028076,54423552,0
join,8.276302099227905,1013665792,0
delete_columns,7.79450798034668,554979328,0
rename_columns,4.9853880405426025,100290560,0
delete_columns,7.68553352355957,101130240,0
calc_column,25.938275814056396,12476514304,0
calc_column,27.304506540298462,4560764928,0
calc_column,38.63045001029968,155922432,0
calc_column,47.59078359603882,853495808,0
rename_columns,30.611499547958374,1094291456,0
cast_columns_types,32.308237075805664,10326360064,0
delete_columns,30.939599752426147,0,0
calc_column,60.69711208343506,0,0
groupby,41.89474534988403,4564570112,0
groupby,42.44365382194519,0,0
drop_duplicates,58.65489363670349,2769494016,0
fill_nan,52.65255117416382,18107228160,0
replace,52.11876726150513,0,0
replace,52.18540382385254,0,0
