method,time,memory,ram
load_dataset,20.743468284606934,1740664832,0
get_columns,0.7467296123504639,37478400,0
get_columns,0.4213070869445801,20070400,0
locate_null_values,1.1556828022003174,536653824,0
sort,0.3198845386505127,35475456,0
query,0.31917834281921387,8425472,0
join,5.607408285140991,3694297088,0
delete_columns,1.9064879417419434,1375768576,0
rename_columns,0.6748771667480469,935604224,0
delete_columns,0.6560156345367432,716017664,0
calc_column,0.64353346824646,0,0
calc_column,0.6681857109069824,543596544,0
calc_column,0.5652480125427246,0,0
calc_column,0.5745339393615723,5107712,0
rename_columns,0.5124125480651855,21225472,0
cast_columns_types,0.557199239730835,1523712,0
delete_columns,0.5411643981933594,0,0
calc_column,0.5592365264892578,72818688,0
groupby,0.6148128509521484,0,0
groupby,0.5657389163970947,4206592,0
drop_duplicates,20.72177219390869,21815259136,0
fill_nan,11.23133111000061,799985664,0
replace,10.560810804367065,367005696,0
replace,10.439330577850342,265015296,0
to_csv,94.63610792160034,0,0
