method,time,memory,ram
load_dataset,31.61798930168152,7048130560,0
get_columns,0.0007958412170410156,0,0
get_columns,0.0008745193481445312,0,0
locate_null_values,4.071430206298828,293736448,0
sort,7.3444664478302,0,0
query,22.128405570983887,1289895936,0
join,21.882306575775146,1449463808,0
delete_columns,0.01755499839782715,5685248,0
rename_columns,0.015372514724731445,659456,0
delete_columns,0.01075887680053711,241664,0
calc_column,23.99129581451416,0,0
calc_column,10.181184530258179,129454080,0
calc_column,10.31076979637146,17145856,0
calc_column,10.55690622329712,0,0
rename_columns,0.018768787384033203,7864320,0
cast_columns_types,0.8118877410888672,0,0
delete_columns,0.023600339889526367,679936,0
calc_column,8.168455839157104,27365376,0
groupby,1.1909947395324707,282800128,0
groupby,6.5499231815338135,0,0
drop_duplicates,29.382800579071045,2731892736,0
fill_nan,32.25851631164551,0,0
replace,5.704642057418823,0,0
replace,0.5816359519958496,33538048,0
