method,time,memory,ram
load_dataset,21.977749824523926,1693298688,0
get_columns,0.7148914337158203,77991936,0
get_columns,0.41324782371520996,76242944,0
locate_null_values,1.0325751304626465,79282176,0
sort,0.3373260498046875,15765504,0
query,0.4965519905090332,8978432,0
join,7.396963834762573,4675452928,0
delete_columns,0.843919038772583,21782528,0
rename_columns,0.7461223602294922,703688704,0
delete_columns,0.5885357856750488,752676864,0
calc_column,0.7074630260467529,848027648,0
calc_column,0.5679030418395996,31916032,0
calc_column,0.5491576194763184,0,0
calc_column,0.5221254825592041,10412032,0
rename_columns,0.5119898319244385,8216576,0
cast_columns_types,0.545950174331665,0,0
delete_columns,0.5347752571105957,0,0
calc_column,0.48634886741638184,12914688,0
groupby,0.5403344631195068,24207360,0
groupby,0.5581543445587158,0,0
drop_duplicates,23.891472101211548,23025958912,0
fill_nan,11.704500198364258,1150214144,0
replace,11.143737077713013,311586816,0
replace,11.065726041793823,89169920,0
to_csv,91.04347586631775,0,0
