method,time,memory,ram
load_dataset,22.207075834274292,0,0
get_columns,0.0013012886047363281,0,0
get_columns,0.0009012222290039062,0,0
locate_null_values,2.554457902908325,603357184,0
sort,4.25844144821167,172716032,0
query,0.7120547294616699,110039040,0
join,1.673682689666748,2580254720,0
delete_columns,0.025827407836914062,0,0
rename_columns,0.021136999130249023,48947200,0
delete_columns,0.011333942413330078,21155840,0
calc_column,25.192875146865845,0,0
calc_column,8.315349578857422,60317696,0
calc_column,8.292259216308594,96403456,0
calc_column,8.356940269470215,55357440,0
rename_columns,0.027652978897094727,507904,0
cast_columns_types,1.035555124282837,0,0
delete_columns,0.017865896224975586,2580480,0
calc_column,6.376913547515869,0,0
groupby,1.5090336799621582,245145600,0
groupby,1.2333247661590576,0,0
drop_duplicates,3.227424144744873,0,0
fill_nan,20.10371446609497,0,0
replace,0.5995445251464844,41410560,0
replace,0.5487196445465088,0,0
